# See the documentation on the wiki to learn how to edit this file.
#-------------------------------
#[BULBASAUR]
#Name = Bulbasaur
#Types = GRASS,POISON
#BaseStats = 45,49,49,45,65,65
#GenderRatio = FemaleOneEighth
#GrowthRate = Parabolic
#BaseExp = 64
#EVs = SPECIAL_ATTACK,1
#CatchRate = 45
#Happiness = 50
#Abilities = OVERGROW
#HiddenAbilities = CHLOROPHYLL
#Moves = 1,TACKLE,1,GROWL,3,VINEWHIP,6,GROWTH,9,LEECHSEED,12,RAZORLEAF,15,POISONPOWDER,15,SLEEPPOWDER,18,SEEDBOMB,21,TAKEDOWN,24,SWEETSCENT,27,SYNTHESIS,30,WORRYSEED,33,DOUBLEEDGE,36,SOLARBEAM
#TutorMoves = AMNESIA,ATTRACT,BODYSLAM,BULLETSEED,CHARM,CUT,DOUBLETEAM,ENDURE,ENERGYBALL,FACADE,FALSESWIPE,FLASH,GIGADRAIN,GRASSKNOT,GRASSPLEDGE,GRASSYGLIDE,GRASSYTERRAIN,HELPINGHAND,HIDDENPOWER,LEAFSTORM,LIGHTSCREEN,MAGICALLEAF,POWERWHIP,PROTECT,REST,ROCKSMASH,ROUND,SAFEGUARD,SEEDBOMB,SLEEPTALK,SLUDGEBOMB,SNORE,SOLARBEAM,STRENGTH,SUBSTITUTE,SUNNYDAY,SWAGGER,SWORDSDANCE,TOXIC,VENOSHOCK,WEATHERBALL,WORKUP
#EggMoves = AMNESIA,CHARM,CURSE,GRASSYTERRAIN,INGRAIN,LEAFSTORM,MAGICALLEAF,NATUREPOWER,PETALDANCE,POWERWHIP,SKULLBASH,SLUDGE
##EggGroups = Monster,Grass
#HatchSteps = 5120
#Height = 0.7
#Weight = 6.9
#Color = Green
#Shape = Quadruped
#Habitat = Grassland
#Category = Seed
#Pokedex = Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun's rays, the seed grows progressively larger.
#Generation = 1
#Evolutions = IVYSAUR,Level,16
#-------------------------------
[MOLLUCOTTA]
Moves = 1,LEER,1,TACKLE,1,EMBER,1,PECK,12,ENCORE,15,FLAMEWHEEL,20,DRAGONBREATH,25,FLAMEBURST,30,FEATHERDANCE,35,WILLOWISP,40,DRAGONPULSE,45,FLAREBLITZ,50,ACROBATICS,55,DRAGONDANCE,60,OUTRAGE
TutorMoves = WORKUP,ROAR,SWAGGER,SUNNYDAY,FLAMETHROWER,FIREBLAST,TORMENT,ROUND,THIEF,FALSESWIPE,WILLOWISP,FLAMEWHEEL,SCREECH,CUT,LIGHTSCREEN,REFLECT,SAFEGUARD,STEELWING,PAYDAY
EggGroups = Monster,Dragon
HatchSteps = 5120
Height = 0.7
Weight = 15.0
Color = Red
Shape = Serpentine
Habitat = Rare
Category = Feather Snake
Pokedex = Pretzell know that they are not as smart as they think they are. They will still throw themselves headfirst into rocks tho.
Generation = 9
Evolutions = QUETZILLIAN,Level,36
#-------------------------------
[QUETZILLIAN]
Name = Pretzilli
Types = FIRE,DRAGON
BaseStats = 90,95,60,100,125,65
GenderRatio = FemaleOneEighth
GrowthRate = Parabolic
BaseExp = 265
EVs = SPEED,1,SPECIAL_ATTACK,1
CatchRate = 45
Happiness = 70
Abilities = BLAZE
HiddenAbilities = DANCER
Moves = 0,ZEALOUSDANCE,1,ZEALOUSDANCE,1,LEER,1,TACKLE,1,OVERHEAT,1,EMBER,1,PECK,12,ENCORE,15,FLAMEWHEEL,20,DRAGONBREATH,25,FLAMEBURST,30,FEATHERDANCE,35,WILLOWISP,42,DRAGONPULSE,49,FLAREBLITZ,56,ACROBATICS,63,DRAGONDANCE,70,BREAKINGSWIPE
TutorMoves = WORKUP,ROAR,SWAGGER,SUNNYDAY,FLAMETHROWER,FIREBLAST,TORMENT,ROUND,THIEF,FALSESWIPE,WILLOWISP,FLAMEWHEEL,SCREECH,CUT,LIGHTSCREEN,REFLECT,SAFEGUARD,AERIALACE,STEELWING,FLY,RAINDANCE,ACROBATICS,SWORDSDANCE,DRAGONPULSE,DRAGONCLAW,PAYDAY
EggGroups = Monster,Dragon
HatchSteps = 5120
Height = 1.4
Weight = 46.7
Color = Red
Shape = Winged
Habitat = Rare
Category = Fire Dance
Pokedex = In battle, Quetzillian moves as if it is tumbling around, it sways gracefully... Just joking, its not graceful at all.
Generation = 9
#-------------------------------
[PORSITE]
Name = Pursetight
Types = WATER
BaseStats = 60,50,40,55,50,55
GenderRatio = FemaleOneEighth
GrowthRate = Parabolic
BaseExp = 62
EVs = HP,1
CatchRate = 45
Happiness = 70
Abilities = TORRENT
HiddenAbilities = AMPLIFIER
Moves = 1,POUND,1,TAILWHIP,6,WATERGUN,9,CONFUSION,12,SING,15,DISARMINGVOICE,18,BUBBLEBEAM,21,ZENHEADBUTT,24,AQUARING,27,DIVE,30,AMNESIA,33,BLIZZARD,36,BOOMBURST,39,REST,42,WATERSPOUT
TutorMoves = SURF,WATERFALL,DIVE,ICEBEAM,BLIZZARD,RAINDANCE,REFLECT,ROUND,FLASHCANNON,SCALD
EggMoves = AQUARING,HEAVYSLAM,HYDROPUMP,THRASH
EggGroups = Field,Water2
HatchSteps = 5120
Height = 0.7
Weight = 34.5
Color = White
Shape = Finned
Habitat = WatersEdge
Category = Sonar
Pokedex = Pursetight can not breath under wateh, so it screams for you to save it.
Generation = 9
Evolutions = CETTOEKKO,Level,16
#-------------------------------
[CETTOEKKO]
Name = Debtcollecto
Types = WATER,PSYCHIC
BaseStats = 70,70,55,75,70,70
GenderRatio = FemaleOneEighth
GrowthRate = Parabolic
BaseExp = 147
EVs = HP,1,SPECIAL_DEFENSE,1
CatchRate = 45
Happiness = 70
Abilities = TORRENT
HiddenAbilities = AMPLIFIER
Moves = 1,POUND,1,TAILWHIP,1,WATERGUN,1,CONFUSION,12,SING,15,DISARMINGVOICE,20,BUBBLEBEAM,25,ZENHEADBUTT,30,AQUARING,35,DIVE,40,AMNESIA,45,BLIZZARD,50,BOOMBURST,55,REST,60,WATERSPOUT
TutorMoves = SURF,WATERFALL,DIVE,ICEBEAM,BLIZZARD,RAINDANCE,REFLECT,ROUND,FLASHCANNON,SCALD,ROAR,EXPLOSION,TAUNT,PSYSHOCK,SCREECH,SNARL,ZENHEADBUTT
EggGroups = Field,Water2
HatchSteps = 5120
Height = 1.8
Weight = 97.5
Color = Black
Shape = Finned
Habitat = WatersEdge
Category = Sonar
Pokedex = Much like a human teenager, Debtcollecto tends to collect debt, lashing out agai- Wait is this thing still alive?
Generation = 9
Evolutions = BATHYGIGAS,Level,36
#-------------------------------
[BATHYGIGAS]
Name = Bathwater
Types = WATER,PSYCHIC
BaseStats = 155,85,70,35,85,105
GenderRatio = FemaleOneEighth
GrowthRate = Parabolic
BaseExp = 265
EVs = HP,2,SPECIAL_DEFENSE,1
CatchRate = 45
Happiness = 70
Abilities = TORRENT
HiddenAbilities = AMPLIFIER
Moves = 0,PSYSONIC,1,PSYSONIC,1,POUND,1,TAILWHIP,1,LIQUIDATION,1,PSYCHICFANGS,1,WATERGUN,1,CONFUSION,12,SING,15,DISARMINGVOICE,20,BUBBLEBEAM,25,ZENHEADBUTT,30,AQUARING,35,DIVE,42,AMNESIA,49,BLIZZARD,56,BOOMBURST,63,REST,70,WATERSPOUT
TutorMoves = SURF,WATERFALL,DIVE,ICEBEAM,BLIZZARD,RAINDANCE,REFLECT,ROUND,FLASHCANNON,SCALD,ROAR,EXPLOSION,TAUNT,PSYSHOCK,SCREECH,SNARL,ZENHEADBUTT,STRENGTH,CALMMIND,THUNDERBOLT,THUNDER,PSYCHIC,FOCUSBLAST,BODYPRESS,PSYCRUSH,BODYSLAM,DAZZLINGGLEAM,TRICKROOM
EggGroups = Field,Water2
HatchSteps = 5120
Height = 12.4
Weight = 758.4
Color = Black
Shape = Finned
Habitat = WatersEdge
Category = Benthic
Pokedex = Oh no it turned into Bathwater. 
Generation = 9
#-------------------------------
[PACUNA]
Name = Smolrat
Types = NORMAL
BaseStats = 30,35,35,60,35,55
GenderRatio = Female50Percent
GrowthRate = Medium
BaseExp = 55
EVs = DEFENSE,1
CatchRate = 255
Happiness = 70
Abilities = CHEEKPOUCH,DAZZLING
HiddenAbilities = FURCOAT
Moves = 1,BABYDOLLEYES,1,TACKLE,6,DISARMINGVOICE,10,HELPINGHAND,13,BITE,17,STUFFCHEEKS,20,DOUBLEKICK,24,HYPERFANG,27,MOONLIGHT,31,BOUNCE,34,SUPERFANG,38,COSMICPOWER,41,HYPERVOICE,44,MOONBLAST,47,LASTRESORT
TutorMoves = CUT,WORKUP,HELPINGHAND,ROAR,SCATTERDUST,TAUNT,DIG,REFLECT,ROUND,FALSESWIPE,GRASSKNOT,ASSURANCE,SPEEDSWAP,SCREECH,UTURN,DAZZLINGGLEAM,PAYDAY
EggMoves = BATONPASS,GRAVITY,HYPNOSIS,PLAYROUGH,HYPERVOICE
EggGroups = Fairy,Field
HatchSteps = 5120
Height = 0.2
Weight = 4.1
Color = Gray
Shape = BipedalTail
Habitat = Grassland
Category = Nibbling
Pokedex = Smolrat have an insatiable appetite, and if you think "It's so smol tho? it could not hurt a thing". You would be wrong, it has already taken my wife and will go after yours too.
Generation = 9
Evolutions = LAGUNA,Level,20
#-------------------------------
[LAGUNA]
Name = OwO
Types = NORMAL,FAIRY
BaseStats = 50,55,60,80,65,110
GenderRatio = Female50Percent
GrowthRate = Medium
BaseExp = 161
EVs = DEFENSE,1
CatchRate = 120
Happiness = 70
Abilities = CHEEKPOUCH,DAZZLING
HiddenAbilities = FURCOAT
Moves = 0,DAZZLINGGLEAM,1,DAZZLINGGLEAM,1,BABYDOLLEYES,1,TACKLE,1,DISARMINGVOICE,1,HELPINGHAND,1,BITE,1,STUFFCHEEKS,1,DOUBLEKICK,26,HYPERFANG,31,MOONLIGHT,37,BOUNCE,42,SUPERFANG,48,COSMICPOWER,53,WISH,59,MOONBLAST,64,LASTRESORT
TutorMoves = CUT,WORKUP,HELPINGHAND,ROAR,SCATTERDUST,TAUNT,DIG,REFLECT,ROUND,FALSESWIPE,GRASSKNOT,ASSURANCE,SPEEDSWAP,SCREECH,UTURN,DAZZLINGGLEAM,STRENGTH,DEFOG,TRICKROOM,CALMMIND,SWAGGER,HYPERBEAM,SOLARBEAM,THUNDERBOLT,LIGHTSCREEN,SAFEGUARD,FLASHCANNON,ACROBATICS,SWORDSDANCE,NASTYPLOT,GUARDSWAP,PLAYROUGH,DRILLRUN,PAYDAY
EggGroups = Field,Water2
HatchSteps = 5120
Height = 0.6
Weight = 10.0
Color = Gray
Shape = BipedalTail
Habitat = Grassland
Category = Hare
Pokedex = Legend tells that the OwO will one day destroy the moon.
Generation = 9
#-------------------------------
[WRENNER]
Name = Wran
Types = NORMAL,FLYING
BaseStats = 30,45,30,90,30,35
GenderRatio = Female50Percent
GrowthRate = Parabolic
BaseExp = 49
EVs = SPEED,1
CatchRate = 255
Happiness = 70
Abilities = RUNAWAY,SANDFORCE
HiddenAbilities = SPEEDBOOST
Moves = 1,GROWL,1,LEER,1,QUICKATTACK,5,PECK,8,SANDTOMB,12,FURYATTACK,19,DOUBLEKICK,22,WINGATTACK,26,AGILITY,29,METALCLAW,33,HONECLAWS,36,DRILLPECK,40,DRILLRUN,43,JUMPKICK,47,EXTREMESPEED
TutorMoves = CUT,WORKUP,AERIALACE,SCORCHINGSANDS,ALLYSWITCH,BULLETSEED,ACROBATICS,SCOURINGWINDS,DRILLRUN
EggMoves = DEFOG,DETECT,ELECTROBALL,SUPERPOWER
EggGroups = Flying,Field
HatchSteps = 5120
Height = 0.2
Weight = 0.5
Color = Yellow
Shape = Winged
Habitat = RoughTerrain
Category = Swift Chick
Pokedex = From the moment they hatch, the first thing a Wrenner does is run. Or atleast that would be a thing if I did not take it legs.
Generation = 9
Evolutions = AVEOR,Level,16
#-------------------------------
[AVEOR]
Name = Armeor
Types = ELECTRIC,FLYING
BaseStats = 45,65,40,110,60,45
GenderRatio = Female50Percent
GrowthRate = Parabolic
BaseExp = 128
EVs = SPEED,2
CatchRate = 120
Happiness = 70
Abilities = STATIC,SANDFORCE
HiddenAbilities = MOTORDRIVE
Moves = 0,SPARK,1,SPARK,1,GROWL,1,LEER,1,QUICKATTACK,1,PECK,1,SANDTOMB,1,FURYATTACK,19,CHARGE,23,DOUBLEKICK,27,WINGATTACK,31,AGILITY,39,METALCLAW,43,HONECLAWS,47,JOLTKICK,51,DRILLPECK,55,WILDCHARGE,59,JUMPKICK,63,EXTREMESPEED
TutorMoves = CUT,WORKUP,AERIALACE,SCORCHINGSANDS,ALLYSWITCH,BULLETSEED,ACROBATICS,SCOURINGWINDS,DRILLRUN,SWAGGER,TAUNT,TRIATTACK,SANDSTORM,THUNDERBOLT,DIG,STEELWING,ROCKTOMB,UTURN
EggGroups = Flying,Field
HatchSteps = 5120
Height = 0.7
Weight = 8.6
Color = Yellow
Shape = Winged
Habitat = RoughTerrain
Category = Star Runner
Pokedex = It has just started to learn to walk again, causing massive joy to all around. It's dubbed "The happy comet".
Generation = 9
Evolutions = ROADRAPTOR,Level,36
#-------------------------------
[ROADRAPTOR]
Name = Brawnraptor
Types = ELECTRIC,FLYING
BaseStats = 70,94,52,133,72,69
GenderRatio = Female50Percent
GrowthRate = Parabolic
BaseExp = 248
EVs = SPEED,3
CatchRate = 45
Happiness = 70
Abilities = STATIC,SANDFORCE
HiddenAbilities = MOTORDRIVE
Moves = 0,VOLTSWITCH,1,VOLTSWITCH,1,GROWL,1,LEER,1,QUICKATTACK,1,PECK,1,SANDTOMB,1,FURYATTACK,1,SPARK,1,CHARGE,1,DOUBLEKICK,1,WINGATTACK,1,AGILITY,39,METALCLAW,43,HONECLAWS,48,JOLTKICK,52,DRILLPECK,57,WILDCHARGE,61,JUMPKICK,66,EXTREMESPEED
TutorMoves = CUT,WORKUP,AERIALACE,SCORCHINGSANDS,ALLYSWITCH,BULLETSEED,ACROBATICS,SCOURINGWINDS,DRILLRUN,SWAGGER,TAUNT,TRIATTACK,SANDSTORM,THUNDERBOLT,DIG,STEELWING,ROCKTOMB,UTURN,STRENGTH,THUNDER,SPEEDSWAP,VOLTSWITCH,WILDCHARGE
EggGroups = Flying,Field
HatchSteps = 5120
Height = 0.9
Weight = 24.0
Color = Yellow
Shape = Winged
Habitat = RoughTerrain
Category = Shooting Star
Pokedex = Finally mastered the art of ARMS! Also: Brawnraptor's method of hunting involves a deadly fist of doom, leaving behind a trail of yellow light that's reminiscent of a comet.
Generation = 9
#-------------------------------
[MINIMELO]
Name = Goodmelon
Types = BUG
BaseStats = 40,30,40,25,30,35
GenderRatio = Female25Percent
GrowthRate = Medium
BaseExp = 36
EVs = ATTACK,1
CatchRate = 255
Happiness = 70
Abilities = SWEETVEIL,HONEYGATHER
HiddenAbilities = SWARM
Moves = 1,POUND,1,SWEETSCENT,2,STRUGGLEBUG,4,STRINGSHOT,6,STOCKPILE,6,SPITUP,8,AROMATHERAPY,12,RAZORLEAF,14,BITE,16,VISEGRIP
TutorMoves = HELPINGHAND,EXPLOSION,SCATTERDUST,SAFEGUARD,ALLYSWITCH,ENERGYBALL,GYROBALL
EggMoves = FEINTATTACK,FLAIL,FURYCUTTER,RAGEPOWDER
EggGroups = Bug
HatchSteps = 5120
Height = 0.1
Weight = 0.3
Color = Brown
Shape = HeadBase
Habitat = Grassland
Category = Sugar Ant
Pokedex = Goodmelon is capable of storing large amounts of nectar in a specialized organ in its abdomen. While it can't consume the nectar, I can.
Generation = 9
Evolutions = CHICATTA,Level,10
#-------------------------------
[CHICATTA]
Name = Chiccicci
Types = BUG
BaseStats = 45,85,45,65,35,45
GenderRatio = Female25Percent
GrowthRate = Medium
BaseExp = 117
EVs = ATTACK,1,SPEED,1
CatchRate = 120
Happiness = 70
Abilities = HYPERCUTTER,STRONGJAW
HiddenAbilities = SWARM
Moves = 0,FURYCUTTER,1,BUGBITE,1,POUND,1,SWEETSCENT,1,STRUGGLEBUG,1,STRINGSHOT,1,STOCKPILE,1,SPITUP,1,AROMATHERAPY,13,RAZORLEAF,16,BITE,19,VISEGRIP,22,HONECLAWS,25,SEISMICTOSS,28,TAUNT,31,STRENGTH,34,CRUNCH,37,SUPERPOWER,40,SOLARBLADE
TutorMoves = HELPINGHAND,EXPLOSION,SCATTERDUST,SAFEGUARD,ALLYSWITCH,ENERGYBALL,GYROBALL,CUT,STRENGTH,WORKUP,VENOSHOCK,TAUNT,SOLARBLADE,DIG,ROCKTOMB,BULLETSEED,GRASSKNOT,XSCISSOR,UTURN
EggGroups = Bug
HatchSteps = 5120
Height = 0.4
Weight = 1.4
Color = Blue
Shape = Insectoid
Habitat = Grassland
Category = Cutter Ant
Pokedex = The leaves they harvest are maybe alive, the face moves and blinks. This is not scienfitically proven.
Generation = 9
Evolutions = NOCTAVISPA,Level30HasTypeMove,DARK
#-------------------------------
[NOCTAVISPA]
Name = Darthstinger
Types = BUG,DARK
BaseStats = 65,110,69,97,89,65
GenderRatio = Female25Percent
GrowthRate = Medium
BaseExp = 253
EVs = ATTACK,2,SPEED,1
CatchRate = 45
Happiness = 70
Abilities = INFILTRATOR,UNNERVE
HiddenAbilities = ADAPTABILITY
Moves = 0,FALSESWIPE,1,FALSESWIPE,1,BUGBITE,1,POUND,1,SWEETSCENT,1,STRUGGLEBUG,1,STRINGSHOT,1,STOCKPILE,1,SPITUP,1,AROMATHERAPY,1,RAZORLEAF,16,BITE,19,VISEGRIP,22,HONECLAWS,25,SEISMICTOSS,28,TAUNT,31,THIEF,34,AIRCUTTER,38,LEECHLIFE,42,SKYDROP,46,NIGHTSLASH,50,ATTACKORDER,50,DEFENDORDER,50,HEALORDER
TutorMoves = HELPINGHAND,EXPLOSION,SCATTERDUST,SAFEGUARD,ALLYSWITCH,ENERGYBALL,GYROBALL,CUT,STRENGTH,WORKUP,VENOSHOCK,TAUNT,SOLARBLADE,DIG,ROCKTOMB,BULLETSEED,GRASSKNOT,XSCISSOR,UTURN,FLY,DEFOG,SWAGGER,HEX,AERIALACE,TORMENT,THIEF,STEELWING,ACROBATICS,ASSURANCE,FOULPLAY,BRUTALSWING,NASTYPLOT,POISONJAB,DARKPULSE
EggGroups = Bug
HatchSteps = 5120
Height = 0.8
Weight = 16.3
Color = Blue
Shape = MultiWinged
Habitat = Grassland
Category = Hawk Wasp
Pokedex = He he, Darth Stinger... Get the reference? :P
Generation = 9
#-------------------------------
[FLABEBE]
Name = Flabebbe
Types = FAIRY
BaseStats = 44,38,39,42,61,79
GenderRatio = AlwaysFemale
GrowthRate = Medium
BaseExp = 61
EVs = SPECIAL_DEFENSE,1
CatchRate = 225
Happiness = 70
Abilities = FLOWERVEIL
HiddenAbilities = SYMBIOSIS
Moves = 1,TACKLE,1,VINEWHIP,6,FAIRYWIND,10,LUCKYCHANT,15,RAZORLEAF,20,WISH,22,MAGICALLEAF,24,GRASSYTERRAIN,28,PETALBLIZZARD,33,AROMATHERAPY,37,MISTYTERRAIN,41,MOONBLAST,45,PETALDANCE,48,SOLARBEAM
TutorMoves = ALLYSWITCH,ATTRACT,CALMMIND,DAZZLINGGLEAM,DOUBLETEAM,ENERGYBALL,FACADE,GRASSKNOT,HELPINGHAND,HIDDENPOWER,PROTECT,PSYCHIC,RAINDANCE,REST,RETURN,ROUND,SAFEGUARD,SLEEPTALK,SOLARBEAM,SUBSTITUTE,SUNNYDAY,SWAGGER,TOXIC
EggMoves = CAMOUFLAGE,CAPTIVATE,COPYCAT,TEARFULLOOK
EggGroups = Fairy
HatchSteps = 5120
Height = 0.1
Weight = 0.1
Color = White
Shape = HeadArms
Category = Single Bloom
Pokedex = Mazah shop owners leave berries outside their store, in the hopes that the flower gives up on eating the Flabebbe. It never works :(.
FormName = Red Flower
Generation = 6
Evolutions = FLOETTE,Level,19
#-------------------------------
[FLOETTE]
Name = Digestte
Types = FAIRY
BaseStats = 54,45,47,52,75,98
GenderRatio = AlwaysFemale
GrowthRate = Medium
BaseExp = 130
EVs = SPECIAL_DEFENSE,2
CatchRate = 120
Happiness = 70
Abilities = FLOWERVEIL
HiddenAbilities = SYMBIOSIS
